Year,Competition,0,1,2,3,4,5,6,7,8,9
2025,Portsmouth SEAL NR 2025,Portsmouth,Compound Men,Carlo Alberti,Southampton Uni,,239.0,260.0,499,57.0,6.0
2025,Portsmouth SEAL NR 2025,Portsmouth,Compound Men,Jacob Harwood,Portsmouth Uni,,255.0,216.0,471,57.0,5.0
2025,Portsmouth SEAL NR 2025,Portsmouth,Compound Women,Lyra Ellwood,Southampton Uni,,274.0,271.0,545,60.0,12.0
2025,Portsmouth SEAL NR 2025,Portsmouth,Compound Women,Eve Knowles,Portsmouth Uni,,271.0,267.0,538,60.0,9.0
2025,Portsmouth SEAL NR 2025,Portsmouth,Barebow Men,Tomas Eller,Portsmouth Uni,,228.0,233.0,461,60.0,8.0
2025,Portsmouth SEAL NR 2025,Portsmouth,Barebow Men,Nathan Waring,Southampton Uni,,206.0,205.0,411,60.0,3.0
2025,Portsmouth SEAL NR 2025,Portsmouth,Barebow Men,Parsa Riazi-Farzad,Southampton Uni,,187.0,212.0,399,60.0,5.0
2025,Portsmouth SEAL NR 2025,Portsmouth,Barebow Men,Abhinandan Arivazhagan,Portsmouth Uni,,198.0,201.0,399,59.0,4.0
2025,Portsmouth SEAL NR 2025,Portsmouth,Barebow Men,Arran Holmes,Portsmouth Uni,,188.0,197.0,385,60.0,1.0
2025,Portsmouth SEAL NR 2025,Portsmouth,Barebow Men,Alec Ahearn,Southampton Uni,Novice,174.0,183.0,357,60.0,3.0
2025,Portsmouth SEAL NR 2025,Portsmouth,Barebow Men,Alfred Bestford,Southampton Uni,,182.0,165.0,347,60.0,2.0
2025,Portsmouth SEAL NR 2025,Portsmouth,Barebow Men,Christopher Bourne,Portsmouth Uni,,177.0,159.0,336,59.0,3.0
2025,Portsmouth SEAL NR 2025,Portsmouth,Barebow Men,Oliver Leach,Portsmouth Uni,Novice,156.0,166.0,322,57.0,3.0
2025,Portsmouth SEAL NR 2025,Portsmouth,Barebow Men,Elliot Summers,Southampton Uni,Novice,164.0,146.0,310,57.0,1.0
2025,Portsmouth SEAL NR 2025,Portsmouth,Barebow Men,Ollie Pilgrim,Southampton Uni,Novice,131.0,178.0,309,55.0,4.0
2025,Portsmouth SEAL NR 2025,Portsmouth,Barebow Men,Xen Medland,Portsmouth Uni,Novice,,,DNS,,
2025,Portsmouth SEAL NR 2025,Portsmouth,Barebow Women,Charlotte Sams,Portsmouth Uni,,244.0,247.0,491,60.0,11.0
2025,Portsmouth SEAL NR 2025,Portsmouth,Barebow Women,Maia Dalpra,Southampton Uni,,216.0,213.0,429,60.0,6.0
2025,Portsmouth SEAL NR 2025,Portsmouth,Barebow Women,Rosie Willcox,Portsmouth Uni,,209.0,215.0,424,60.0,5.0
2025,Portsmouth SEAL NR 2025,Portsmouth,Barebow Women,Ella Jernberg,Portsmouth Uni,Novice,143.0,103.0,246,52.0,0.0
2025,Portsmouth SEAL NR 2025,Portsmouth,Barebow Women,Joana Filipa Cabral Da Silva Dos Santos Diniz,Portsmouth Uni,Novice,115.0,130.0,245,50.0,3.0
2025,Portsmouth SEAL NR 2025,Portsmouth,Barebow Women,Chloe Forbes,Portsmouth Uni,Novice,106.0,128.0,234,45.0,1.0
2025,Portsmouth SEAL NR 2025,Portsmouth,Novice Barebow Men,Alec Ahearn,Southampton Uni,Novice,174.0,183.0,357,60.0,3.0
2025,Portsmouth SEAL NR 2025,Portsmouth,Novice Barebow Men,Oliver Leach,Portsmouth Uni,Novice,156.0,166.0,322,57.0,3.0
2025,Portsmouth SEAL NR 2025,Portsmouth,Novice Barebow Men,Elliot Summers,Southampton Uni,Novice,164.0,146.0,310,57.0,1.0
2025,Portsmouth SEAL NR 2025,Portsmouth,Novice Barebow Men,Ollie Pilgrim,Southampton Uni,Novice,131.0,178.0,309,55.0,4.0
2025,Portsmouth SEAL NR 2025,Portsmouth,Novice Barebow Men,Xen Medland,Portsmouth Uni,Novice,,,DNS,,
2025,Portsmouth SEAL NR 2025,Portsmouth,Novice Barebow Women,Ella Jernberg,Portsmouth Uni,Novice,143.0,103.0,246,52.0,0.0
2025,Portsmouth SEAL NR 2025,Portsmouth,Novice Barebow Women,Joana Filipa Cabral Da Silva Dos Santos Diniz,Portsmouth Uni,Novice,115.0,130.0,245,50.0,3.0
2025,Portsmouth SEAL NR 2025,Portsmouth,Novice Barebow Women,Chloe Forbes,Portsmouth Uni,Novice,106.0,128.0,234,45.0,1.0
