Year,Competition,0,1,2,3,4,5,6,7
2023,Wallingford IS 2023,WA 18m,Recurve Men,Robert G Caldeira-Hankey,Cody,271,278,549,21
2023,Wallingford IS 2023,WA 18m,Recurve Men,Sathish Kumar Kannan,Newport Pagnell,268,250,518,16
2023,Wallingford IS 2023,WA 18m,Recurve Men,Robert W Caldeira-Hankey,Cody,244,273,517,20
2023,Wallingford IS 2023,WA 18m,Recurve Men,Stephen McFadden,Wallingford,256,261,517,18
2023,Wallingford IS 2023,WA 18m,Recurve Men,Nico Collard,Wallingford,247,263,510,12
2023,Wallingford IS 2023,WA 18m,Recurve Men,Stuart Walker,Harlequin,244,258,502,11
2023,Wallingford IS 2023,WA 18m,Recurve Men,Stephen Fidler,Buscot Park,247,251,498,11
2023,Wallingford IS 2023,WA 18m,Recurve Men,Kevin Griffiths,Wallingford,236,239,475,10
2023,Wallingford IS 2023,WA 18m,Recurve Men,Srinivas Yellapragada,Shenley,219,213,432,8
2023,Wallingford IS 2023,WA 18m,Recurve Men,Barry Miller,Cody,168,182,350,3
2023,Wallingford IS 2023,WA 18m,Recurve Women,Charlie Wortley,Wallingford,223,262,485,12
2023,Wallingford IS 2023,WA 18m,Recurve Women,Yashasvi Yellapragada,Shenley,235,231,466,8
2023,Wallingford IS 2023,WA 18m,Recurve Women,Hayley Wickens,Wallingford,217,226,443,6
2023,Wallingford IS 2023,WA 18m,Recurve Women,Erin King,Wallingford,211,230,441,9
2023,Wallingford IS 2023,WA 18m,Recurve Women,Ellie Wortley,Wallingford,167,133,300,0
2023,Wallingford IS 2023,WA 18m,Compound Men,Chris Stubbs,Wallingford,274,282,556,20
2023,Wallingford IS 2023,WA 18m,Compound Men,Steve Griffiths,Medway,275,279,554,18
2023,Wallingford IS 2023,WA 18m,Compound Men,Jose Goncalves,AGB,270,273,543,12
2023,Wallingford IS 2023,WA 18m,Compound Men,Ray Park,Wallingford,270,272,542,14
2023,Wallingford IS 2023,WA 18m,Compound Men,Chris Wood,Wallingford,260,265,525,9
2023,Wallingford IS 2023,WA 18m,Compound Women,Hannah Brown,Medway,282,288,570,30
2023,Wallingford IS 2023,WA 18m,Compound Women,Nicola Wood,Wallingford,258,276,534,14
2023,Wallingford IS 2023,WA 18m,Barebow Men,Oliver Hicks,Warfield,283,282,565,30
2023,Wallingford IS 2023,WA 18m,Barebow Women,Emily Summers,Deer Park,244,243,487,8
