Year,Competition,0,1,2,3,4,5,6,7,8,9
2026,Brighton SEAL 2026,Portsmouth,Recurve Men,Min Seok Kim,Southampton Uni,,294,294,588,60,48
2026,Brighton SEAL 2026,Portsmouth,Recurve Men,Nathan (John) Jones,Kent Uni,,270,260,530,60,21
2026,Brighton SEAL 2026,Portsmouth,Recurve Men,Nicholas Sexton,Southampton Uni,Novice,260,255,515,60,10
2026,Brighton SEAL 2026,Portsmouth,Recurve Men,James Ingham,Brighton Uni,,254,252,506,60,9
2026,Brighton SEAL 2026,Portsmouth,Recurve Men,Thomas Allen,Southampton Uni,,233,250,483,60,9
2026,Brighton SEAL 2026,Portsmouth,Recurve Men,Abdulhamit Celik,Southampton Uni,Novice,198,211,409,59,4
2026,Brighton SEAL 2026,Portsmouth,Recurve Men,Akim Kopriva,Brighton Uni,,196,185,381,60,1
2026,Brighton SEAL 2026,Portsmouth,Recurve Men,Logan Price Cope,Brighton Uni,Novice,159,176,335,56,1
2026,Brighton SEAL 2026,Portsmouth,Recurve Women,Harriet Crook,Southampton Uni,,262,266,528,60,17
2026,Brighton SEAL 2026,Portsmouth,Recurve Women,Wynnie Chong,Southampton Uni,,253,239,492,60,10
2026,Brighton SEAL 2026,Portsmouth,Recurve Women,Kara Slaney-Parker,Kent Uni,,245,240,485,60,6
2026,Brighton SEAL 2026,Portsmouth,Recurve Women,Jasmine Dadey,Southampton Uni,Novice,232,236,468,60,5
2026,Brighton SEAL 2026,Portsmouth,Recurve Women,Vanshika Keshari,Southampton Uni,Novice,208,203,411,60,5
2026,Brighton SEAL 2026,Portsmouth,Recurve Women,Madeline Cardwell,Kent Uni,,193,192,385,57,2
2026,Brighton SEAL 2026,Portsmouth,Recurve Women,Audrei De Guzman,Brighton Uni,Novice,142,158,300,57,0
2026,Brighton SEAL 2026,Portsmouth,Recurve Women,Edisia Rodrigues,Brighton Uni,Novice,103,127,230,49,1
2026,Brighton SEAL 2026,Portsmouth,Barebow Men,Marc Saunders,Kent Uni,,217,238,455,59,5
2026,Brighton SEAL 2026,Portsmouth,Barebow Men,Tom Witmore,Kent Uni,,208,213,421,60,8
2026,Brighton SEAL 2026,Portsmouth,Barebow Women,Niamh Starnes,Brighton Uni,,225,255,480,60,14
2026,Brighton SEAL 2026,Portsmouth,Barebow Women,Aster Starnes,Brighton Uni,,220,228,448,60,8
2026,Brighton SEAL 2026,Portsmouth,Barebow Women,San Yin,Kent Uni,,220,226,446,60,4
2026,Brighton SEAL 2026,Portsmouth,Barebow Women,Anya Penny,Brighton Uni,,196,203,399,60,4
2026,Brighton SEAL 2026,Portsmouth,Barebow Women,Claire Nganga,Kent Uni,,190,206,396,60,3
2026,Brighton SEAL 2026,Portsmouth,Barebow Women,Abbie Scott,Kent Uni,,170,172,342,59,5
2026,Brighton SEAL 2026,Portsmouth,Novice Recurve Men,Nicholas Sexton,Southampton Uni,Novice,260,255,515,60,10
2026,Brighton SEAL 2026,Portsmouth,Novice Recurve Men,Abdulhamit Celik,Southampton Uni,Novice,198,211,409,59,4
2026,Brighton SEAL 2026,Portsmouth,Novice Recurve Men,Logan Price Cope,Brighton Uni,Novice,159,176,335,56,1
2026,Brighton SEAL 2026,Portsmouth,Novice Recurve Women,Jasmine Dadey,Southampton Uni,Novice,232,236,468,60,5
2026,Brighton SEAL 2026,Portsmouth,Novice Recurve Women,Vanshika Keshari,Southampton Uni,Novice,208,203,411,60,5
2026,Brighton SEAL 2026,Portsmouth,Novice Recurve Women,Audrei De Guzman,Brighton Uni,Novice,142,158,300,57,0
2026,Brighton SEAL 2026,Portsmouth,Novice Recurve Women,Edisia Rodrigues,Brighton Uni,Novice,103,127,230,49,1
