Year,Competition,0,1,2,3,4,5,6,7
2022,Wallingford & Army 2022,WA 18m,Recurve Men,Nico Collard,Wallingford,262,263,525,17
2022,Wallingford & Army 2022,WA 18m,Recurve Men,Manos Loukarakis,Wallingford,255,242,497,13
2022,Wallingford & Army 2022,WA 18m,Recurve Men,Stephen McFadden,Wallingford,232,260,492,10
2022,Wallingford & Army 2022,WA 18m,Recurve Men,Devon Barwood,Army,248,226,474,9
2022,Wallingford & Army 2022,WA 18m,Recurve Men,John Kirkpatrick,Wallingford,240,228,468,7
2022,Wallingford & Army 2022,WA 18m,Recurve Men,Craig Cherrie,Army,235,221,456,6
2022,Wallingford & Army 2022,WA 18m,Recurve Men,Oswaldo Ravelo,Wallingford,228,225,453,6
2022,Wallingford & Army 2022,WA 18m,Recurve Men,Simon Bratcher,Army,206,207,413,6
2022,Wallingford & Army 2022,WA 18m,Recurve Men,Tommy Wenmouth,Wallingford,195,206,401,2
2022,Wallingford & Army 2022,WA 18m,Recurve Men,Mark Lee,Wallingford,202,187,389,5
2022,Wallingford & Army 2022,WA 18m,Recurve Men,Richard Pollard,Wallingford,168,216,384,2
2022,Wallingford & Army 2022,WA 18m,Recurve Men,Glen Adams,Wallingford,200,181,381,4
2022,Wallingford & Army 2022,WA 18m,Recurve Men,Damion Grey,Army,201,180,381,2
2022,Wallingford & Army 2022,WA 18m,Recurve Men,Ross Jenkins,Wallingford,160,216,376,5
2022,Wallingford & Army 2022,WA 18m,Recurve Men,Jake Robson,Army,214,155,369,4
2022,Wallingford & Army 2022,WA 18m,Recurve Men,Steve Forrest,Army,200,139,339,5
2022,Wallingford & Army 2022,WA 18m,Recurve Men,Lee Hayes,Wallingford,156,167,323,1
2022,Wallingford & Army 2022,WA 18m,Recurve Men,Billy Matthews,Army,123,160,283,4
2022,Wallingford & Army 2022,WA 18m,Recurve Men,Adam Hill,Army,139,138,277,3
2022,Wallingford & Army 2022,WA 18m,Recurve Men,Christopher Bateson,Army,123,144,267,2
2022,Wallingford & Army 2022,WA 18m,Recurve Men,Paul Jenkins,Wallingford,55,88,143,0
2022,Wallingford & Army 2022,WA 18m,Recurve Women,Rachael Hurle,Army,244,247,491,9
2022,Wallingford & Army 2022,WA 18m,Recurve Women,Minisha Kirkpatrick,Wallingford,214,221,435,4
2022,Wallingford & Army 2022,WA 18m,Recurve Women,Erin King,Wallingford,193,216,409,2
2022,Wallingford & Army 2022,WA 18m,Recurve Women,Tanith Ridgway,Wallingford,189,196,385,2
2022,Wallingford & Army 2022,WA 18m,Recurve Women,Zoe Nielsen,Wallingford,164,176,340,1
2022,Wallingford & Army 2022,WA 18m,Recurve Women,Megan Arpin,Army,57,51,108,1
2022,Wallingford & Army 2022,WA 18m,Barebow Men,Stephen Wyatt,Army,225,244,469,6
2022,Wallingford & Army 2022,WA 18m,Barebow Men,Colin Mansell,Army,177,165,342,1
2022,Wallingford & Army 2022,WA 18m,Barebow Men,Philip Mason,Army,171,142,313,1
2022,Wallingford & Army 2022,WA 18m,Barebow Men,Mark Allan,Army,166,118,284,1
2022,Wallingford & Army 2022,WA 18m,Barebow Men,John Williams,Army,95,135,230,1
2022,Wallingford & Army 2022,WA 18m,Barebow Men,Mark Rothwell,Army,74,131,205,1
2022,Wallingford & Army 2022,WA 18m,Barebow Men,Garth O'Hara,Army,73,97,170,0
2022,Wallingford & Army 2022,WA 18m,Barebow Men,Joshua Cronshaw,Army,61,56,117,0
2022,Wallingford & Army 2022,WA 18m,Barebow Women,Sarah Roderick,Army,196,193,389,1
