Year,Competition,0,1,2,3,4,5,6,7
2022,Wallingford IS 2022,WA 18m,Recurve Men,Antony Wood,Oxford,285.0,285.0,570,33.0
2022,Wallingford IS 2022,WA 18m,Recurve Men,Colin Simpson,Warfield,254.0,273.0,527,15.0
2022,Wallingford IS 2022,WA 18m,Recurve Men,Nico Collard,Wallingford,255.0,268.0,523,16.0
2022,Wallingford IS 2022,WA 18m,Recurve Men,Samuel Walby,Oxford Uni,254.0,267.0,521,13.0
2022,Wallingford IS 2022,WA 18m,Recurve Men,Stephen McFadden,Wallingford,248.0,252.0,500,7.0
2022,Wallingford IS 2022,WA 18m,Recurve Men,Kevin Griffiths,Wallingford,223.0,232.0,455,7.0
2022,Wallingford IS 2022,WA 18m,Recurve Women,Becky Stacey,Wallingford,236.0,260.0,496,11.0
2022,Wallingford IS 2022,WA 18m,Recurve Women,Jasmine Grosso,Wallingford,239.0,243.0,482,11.0
2022,Wallingford IS 2022,WA 18m,Recurve Women,Hayley Wickens,Wallingford,204.0,214.0,418,5.0
2022,Wallingford IS 2022,WA 18m,Recurve Women,Charlie Wortley,Wallingford,203.0,186.0,389,6.0
2022,Wallingford IS 2022,WA 18m,Recurve Women,Erithelgi-Dionysia Meramveliotaki,Wallingford,184.0,164.0,348,0.0
2022,Wallingford IS 2022,WA 18m,Recurve Women,Yashasvi Yellapragada,Shenley,143.0,202.0,345,5.0
2022,Wallingford IS 2022,WA 18m,Recurve Women,Ellie Wortley,Wallingford,166.0,176.0,342,2.0
2022,Wallingford IS 2022,WA 18m,Compound Men,Chris Stubbs,Wallingford,279.0,277.0,556,21.0
2022,Wallingford IS 2022,WA 18m,Compound Men,Steve Griffiths,Medway,276.0,277.0,553,18.0
2022,Wallingford IS 2022,WA 18m,Compound Men,Michael Smith,Wallingford,274.0,267.0,541,10.0
2022,Wallingford IS 2022,WA 18m,Compound Men,Chris Wood,Wallingford,257.0,268.0,525,11.0
2022,Wallingford IS 2022,WA 18m,Compound Men,Jose Goncalves,AGB,259.0,262.0,521,10.0
2022,Wallingford IS 2022,WA 18m,Compound Men,Ray Park,Wallingford,258.0,257.0,515,6.0
2022,Wallingford IS 2022,WA 18m,Compound Women,Hannah Brown,Medway,285.0,284.0,569,30.0
2022,Wallingford IS 2022,WA 18m,Compound Women,Rachael Graham,AC Delco,267.0,267.0,534,9.0
2022,Wallingford IS 2022,WA 18m,Compound Women,Nicola Wood,Wallingford,261.0,168.0,429,5.0
2022,Wallingford IS 2022,WA 18m,Compound Women,Isabella Bruguier,Crystal Palace,,,DNS,
2022,Wallingford IS 2022,WA 18m,Barebow Men,Oliver Hicks,Warfield,287.0,274.0,561,30.0
2022,Wallingford IS 2022,WA 18m,Barebow Women,Cheryl King,Wallingford,235.0,227.0,462,2.0
2022,Wallingford IS 2022,WA 18m,Barebow Women,Emily Summers,Deer Park,221.0,220.0,441,4.0
