Year,Competition,0,1,2,3,4,5,6,7
2023,Wallingford IS 2023,WA 18m,Recurve Men,Antony Wood,Oxford,288.0,291.0,579,42.0
2023,Wallingford IS 2023,WA 18m,Recurve Men,Robert G Caldeira-Hankey,Cody,276.0,270.0,546,23.0
2023,Wallingford IS 2023,WA 18m,Recurve Men,Sathish Kumar Kannan,Newport Pagnell,268.0,267.0,535,20.0
2023,Wallingford IS 2023,WA 18m,Recurve Men,John Prior,Supermarine,268.0,267.0,535,16.0
2023,Wallingford IS 2023,WA 18m,Recurve Men,Stephen Fidler,Buscot Park,257.0,264.0,521,15.0
2023,Wallingford IS 2023,WA 18m,Recurve Men,Stuart Walker,Harlequin,257.0,258.0,515,18.0
2023,Wallingford IS 2023,WA 18m,Recurve Men,Nico Collard,Wallingford,259.0,251.0,510,14.0
2023,Wallingford IS 2023,WA 18m,Recurve Men,Stephen McFadden,Wallingford,244.0,252.0,496,15.0
2023,Wallingford IS 2023,WA 18m,Recurve Men,Robert W Caldeira-Hankey,Cody,250.0,239.0,489,9.0
2023,Wallingford IS 2023,WA 18m,Recurve Men,Kevin Griffiths,Wallingford,240.0,234.0,474,11.0
2023,Wallingford IS 2023,WA 18m,Recurve Men,Srinivas Yellapragada,Shenley,,,DNS,
2023,Wallingford IS 2023,WA 18m,Recurve Men,Colin Simpson,Warfield,,,DNS,
2023,Wallingford IS 2023,WA 18m,Recurve Men,Matthew Greetham,Wallingford,,,DNS,
2023,Wallingford IS 2023,WA 18m,Recurve Women,Jasmine Grosso,Wallingford,252.0,242.0,494,6.0
2023,Wallingford IS 2023,WA 18m,Recurve Women,Becky Stacey,Wallingford,234.0,226.0,460,11.0
2023,Wallingford IS 2023,WA 18m,Recurve Women,Erin King,Wallingford,222.0,219.0,441,5.0
2023,Wallingford IS 2023,WA 18m,Recurve Women,Yashasvi Yellapragada,Shenley,225.0,202.0,427,5.0
2023,Wallingford IS 2023,WA 18m,Recurve Women,Hayley Wickens,Wallingford,219.0,202.0,421,7.0
2023,Wallingford IS 2023,WA 18m,Recurve Women,Charlie Wortley,Wallingford,215.0,191.0,406,3.0
2023,Wallingford IS 2023,WA 18m,Recurve Women,Ellie Wortley,Wallingford,187.0,163.0,350,4.0
2023,Wallingford IS 2023,WA 18m,Recurve Women,Erithelgi-Dionysia Meramveliotaki,Wallingford,165.0,156.0,321,2.0
2023,Wallingford IS 2023,WA 18m,Compound Men,Steve Griffiths,Medway,282.0,279.0,561,21.0
2023,Wallingford IS 2023,WA 18m,Compound Men,Chris Stubbs,Wallingford,279.0,281.0,560,22.0
2023,Wallingford IS 2023,WA 18m,Compound Men,Michael Smith,Wallingford,278.0,271.0,549,17.0
2023,Wallingford IS 2023,WA 18m,Compound Men,Ray Park,Wallingford,276.0,272.0,548,15.0
2023,Wallingford IS 2023,WA 18m,Compound Men,Chris Wood,Wallingford,267.0,269.0,536,10.0
2023,Wallingford IS 2023,WA 18m,Compound Men,Jose Goncalves,AGB,264.0,269.0,533,14.0
2023,Wallingford IS 2023,WA 18m,Compound Men,John Foley,Fort Purbrook,,,DNS,
2023,Wallingford IS 2023,WA 18m,Compound Women,Hannah Brown,Medway,285.0,286.0,571,32.0
2023,Wallingford IS 2023,WA 18m,Compound Women,Isabella Bruguier,Crystal Palace,278.0,275.0,553,16.0
2023,Wallingford IS 2023,WA 18m,Compound Women,Rachael Graham,AC Delco,271.0,275.0,546,13.0
2023,Wallingford IS 2023,WA 18m,Compound Women,Nicola Wood,Wallingford,270.0,269.0,539,13.0
2023,Wallingford IS 2023,WA 18m,Barebow Men,Oliver Hicks,Warfield,267.0,274.0,541,18.0
2023,Wallingford IS 2023,WA 18m,Barebow Women,Emily Summers,Deer Park,255.0,220.0,475,10.0
2023,Wallingford IS 2023,WA 18m,Barebow Women,Cheryl King,Wallingford,193.0,172.0,365,1.0
