Year,Competition,0,1,2,3,4,5,6,7,8
2023,CJAL Leg 2 2023,Portsmouth,Recurve U18 Men,Samuel Ball,Wallingford,288,288,576,60,38
2023,CJAL Leg 2 2023,Portsmouth,Recurve U18 Men,Paul Collins,Guildford,252,266,518,60,19
2023,CJAL Leg 2 2023,Portsmouth,Recurve U18 Men,Jeremy Lui,Wallingford,241,255,496,60,8
2023,CJAL Leg 2 2023,Portsmouth,Recurve U18 Men,Rory Priest,Wallingford,228,235,463,59,9
2023,CJAL Leg 2 2023,Portsmouth,Recurve U18 Men,George Higginson,Wallingford,233,228,461,60,6
2023,CJAL Leg 2 2023,Portsmouth,Recurve U18 Men,Fin Tewson,Cleve,173,204,377,58,4
2023,CJAL Leg 2 2023,Portsmouth,Recurve U18 Men,Nathan Brewer,Wallingford,224,134,358,55,4
2023,CJAL Leg 2 2023,Portsmouth,Recurve U18 Men,Jared Clayton,Guildford,137,160,297,53,3
2023,CJAL Leg 2 2023,Portsmouth,Recurve U18 Women,Meghan Robertson,Guildford,271,274,545,60,19
2023,CJAL Leg 2 2023,Portsmouth,Recurve U18 Women,Charlie Wortley,Wallingford,272,250,522,59,17
2023,CJAL Leg 2 2023,Portsmouth,Recurve U18 Women,Jasmine Harris,Wallingford,248,239,487,60,10
2023,CJAL Leg 2 2023,Portsmouth,Recurve U18 Women,Maisie Grimsditch,Wallingford,238,247,485,60,8
2023,CJAL Leg 2 2023,Portsmouth,Recurve U18 Women,Maja Kliczka,Cleve,245,229,474,60,7
2023,CJAL Leg 2 2023,Portsmouth,Recurve U18 Women,Louisa Alford,Cleve,196,242,438,59,3
2023,CJAL Leg 2 2023,Portsmouth,Recurve U18 Women,Paige Rhodes,Old Basing,180,213,393,60,3
2023,CJAL Leg 2 2023,Portsmouth,Recurve U18 Women,Shannon Crook,Wallingford,180,200,380,57,4
2023,CJAL Leg 2 2023,Portsmouth,Recurve U18 Women,Holly Patrick,Guildford,178,193,371,58,5
2023,CJAL Leg 2 2023,Portsmouth,Recurve U18 Women,Ava Woodward,Wallingford,178,164,342,57,3
2023,CJAL Leg 2 2023,Portsmouth,Recurve U18 Women,Amelia Andrew,Wallingford,168,172,340,57,3
2023,CJAL Leg 2 2023,Portsmouth,Recurve U18 Women,Abigail Kellock,Cleve,144,141,285,49,3
2023,CJAL Leg 2 2023,Portsmouth,Recurve U18 Women,Aabha Jadhav,Guildford,89,155,244,49,3
2023,CJAL Leg 2 2023,Portsmouth,Recurve U18 Women,Saskia Payne,Whiteleaf,102,93,195,43,0
2023,CJAL Leg 2 2023,Portsmouth,Barebow U18 Men,Alfie Budgen,Whiteleaf,170,161,331,58,4
2023,CJAL Leg 2 2023,Portsmouth,Barebow U18 Women,Rose Travis,Whiteleaf,153,144,297,56,1
2023,CJAL Leg 2 2023,Portsmouth,Recurve U14 Men,Cameron Wallace,Wallingford,224,228,452,60,5
2023,CJAL Leg 2 2023,Portsmouth,Recurve U14 Men,Joel Nichols,Wallingford,179,194,373,59,3
2023,CJAL Leg 2 2023,Portsmouth,Recurve U14 Men,Mason Clayton,Guildford,120,99,219,47,0
2023,CJAL Leg 2 2023,Portsmouth,Recurve U14 Men,Olly Millar,Cleve,75,38,113,28,0
2023,CJAL Leg 2 2023,Portsmouth,Recurve U14 Women,Amber Bishop,Wallingford,221,202,423,59,4
2023,CJAL Leg 2 2023,Portsmouth,Recurve U14 Women,Ellie Wortley,Wallingford,210,194,404,60,5
2023,CJAL Leg 2 2023,Portsmouth,Recurve U14 Women,Matilda Clayson,Wallingford,157,184,341,56,2
2023,CJAL Leg 2 2023,Portsmouth,Barebow U14 Men,Alex Grimshaw,Whiteleaf,168,139,307,56,2
