Year,Competition,0,1,2,3,4,5,6,7,8
2012,COAS Indoors 2012,Portsmouth,Recurve Men,Matthew Langton,Oxford Uni,292,292,584,60,46
2012,COAS Indoors 2012,Portsmouth,Recurve Men,David Timmins,Oxford Uni,291,289,580,60,42
2012,COAS Indoors 2012,Portsmouth,Recurve Men,David Longworth,Oxford,278,287,565,60,30
2012,COAS Indoors 2012,Portsmouth,Recurve Men,Peter Seers,Oxford,282,281,563,60,33
2012,COAS Indoors 2012,Portsmouth,Recurve Men,Rod Cox,South Oxon,283,280,563,60,30
2012,COAS Indoors 2012,Portsmouth,Recurve Men,Neil Holt,Bampton,275,281,556,60,27
2012,COAS Indoors 2012,Portsmouth,Recurve Men,Jack Sobey,Oxford Uni,270,283,553,60,24
2012,COAS Indoors 2012,Portsmouth,Recurve Men,Duncan Reed,South Oxon,276,276,552,60,24
2012,COAS Indoors 2012,Portsmouth,Recurve Men,Thilina Abeywickrama,Oxford,275,275,550,60,25
2012,COAS Indoors 2012,Portsmouth,Recurve Men,Steve Polley,Oxford,273,277,550,59,27
2012,COAS Indoors 2012,Portsmouth,Recurve Men,Simon Bradshaw,Whiteleaf (Guest),278,270,548,60,23
2012,COAS Indoors 2012,Portsmouth,Recurve Men,Marc Tamlyn,Oxford,268,263,531,60,23
2012,COAS Indoors 2012,Portsmouth,Recurve Men,Ashley Poyton,Oxford,250,272,522,60,19
2012,COAS Indoors 2012,Portsmouth,Recurve Men,Charles Read,South Oxon,258,264,522,60,19
2012,COAS Indoors 2012,Portsmouth,Recurve Men,Howard Moore,Oxford,259,261,520,60,13
2012,COAS Indoors 2012,Portsmouth,Recurve Men,Mycchaka Kleinbort,Oxford Uni,257,261,518,60,9
2012,COAS Indoors 2012,Portsmouth,Recurve Men,Carlos Soares-Vieira,Oxford,255,259,514,60,14
2012,COAS Indoors 2012,Portsmouth,Recurve Men,Dominic Wang,Oxford Uni,267,244,511,60,11
2012,COAS Indoors 2012,Portsmouth,Recurve Men,Lukasz Danel,Oxford,259,251,510,60,10
2012,COAS Indoors 2012,Portsmouth,Recurve Men,Andrew Ferryman,Windrush,250,253,503,60,12
2012,COAS Indoors 2012,Portsmouth,Recurve Men,Jeff Grove,Bampton,247,255,502,59,12
2012,COAS Indoors 2012,Portsmouth,Recurve Men,Werner Guevara,Oxford Uni,242,240,482,60,8
2012,COAS Indoors 2012,Portsmouth,Recurve Men,Zygmunt Kociela,Oxford,243,231,474,60,7
2012,COAS Indoors 2012,Portsmouth,Recurve Men,Richard Hobley,Oxford,223,245,468,59,6
2012,COAS Indoors 2012,Portsmouth,Recurve Men,Martin Stone,Oxford,239,214,453,60,3
2012,COAS Indoors 2012,Portsmouth,Recurve Men,Richard Morris,Oxford Uni,222,227,449,60,9
2012,COAS Indoors 2012,Portsmouth,Recurve Women,Antje Frotscher,Oxford,287,287,574,60,39
2012,COAS Indoors 2012,Portsmouth,Recurve Women,Kirstie Smith,Oxford Uni,265,268,533,60,18
2012,COAS Indoors 2012,Portsmouth,Recurve Women,Sheila Cox,South Oxon,257,265,522,60,13
2012,COAS Indoors 2012,Portsmouth,Recurve Women,Rachael Evans,South Oxon,258,259,517,60,17
2012,COAS Indoors 2012,Portsmouth,Recurve Women,Angelina Measures,Oxford Uni,248,257,505,60,12
2012,COAS Indoors 2012,Portsmouth,Recurve Women,Sarah Fletcher,Oxford,235,247,482,60,10
2012,COAS Indoors 2012,Portsmouth,Recurve Women,Kayt Read,South Oxon,240,224,464,60,6
2012,COAS Indoors 2012,Portsmouth,Recurve Women,Corinne Stone,Oxford,232,224,456,60,6
2012,COAS Indoors 2012,Portsmouth,Recurve Women,Alzbeta Hulikova,Oxford,206,225,431,60,6
