Year,Competition,0,1,2,3,4,5,6,7
2019,COAS Indoors 2019,WA 18m,Recurve Men,David Timmins,Oxford,282.0,280.0,562,28.0
2019,COAS Indoors 2019,WA 18m,Recurve Men,Michal Twarowski,London,272.0,270.0,542,20.0
2019,COAS Indoors 2019,WA 18m,Recurve Men,Dominic Collis,Wallingford,274.0,265.0,539,18.0
2019,COAS Indoors 2019,WA 18m,Recurve Men,Vaclav Papez,London,256.0,271.0,527,20.0
2019,COAS Indoors 2019,WA 18m,Recurve Men,Simon Paterson,Bampton,259.0,268.0,527,19.0
2019,COAS Indoors 2019,WA 18m,Recurve Men,Ioannis Chrisinas,Northampton,261.0,266.0,527,17.0
2019,COAS Indoors 2019,WA 18m,Recurve Men,Andrew Clark,Wallingford,261.0,262.0,523,15.0
2019,COAS Indoors 2019,WA 18m,Recurve Men,Colin Simpson,Warfield,265.0,256.0,521,15.0
2019,COAS Indoors 2019,WA 18m,Recurve Men,Stuart Walker,Compton,255.0,260.0,515,14.0
2019,COAS Indoors 2019,WA 18m,Recurve Men,Ciaran Lunt,Oxford Uni,253.0,254.0,507,16.0
2019,COAS Indoors 2019,WA 18m,Recurve Men,Leon Smith,Compton,246.0,257.0,503,15.0
2019,COAS Indoors 2019,WA 18m,Recurve Men,Andy Cook,Wallingford,257.0,243.0,500,10.0
2019,COAS Indoors 2019,WA 18m,Recurve Men,Chris Wood,Wallingford,256.0,243.0,499,12.0
2019,COAS Indoors 2019,WA 18m,Recurve Men,Stephen Fidler,Buscot Park,240.0,255.0,495,11.0
2019,COAS Indoors 2019,WA 18m,Recurve Men,Peter Lancaster,Wallingford,240.0,241.0,481,8.0
2019,COAS Indoors 2019,WA 18m,Recurve Men,Andy Buchan,Wallingford,225.0,248.0,473,5.0
2019,COAS Indoors 2019,WA 18m,Recurve Men,Andrew Edwards,Compton,242.0,227.0,469,9.0
2019,COAS Indoors 2019,WA 18m,Recurve Men,Matthew Greetham,Wallingford,233.0,233.0,466,4.0
2019,COAS Indoors 2019,WA 18m,Recurve Men,Marc Tamlyn,Wallingford,233.0,230.0,463,11.0
2019,COAS Indoors 2019,WA 18m,Recurve Men,Callum Henfrey,Oxford Uni,234.0,220.0,454,6.0
2019,COAS Indoors 2019,WA 18m,Recurve Men,George Thomas,Oxford,228.0,223.0,451,9.0
2019,COAS Indoors 2019,WA 18m,Recurve Men,Adrian Mustey,Bampton,234.0,211.0,445,8.0
2019,COAS Indoors 2019,WA 18m,Recurve Men,Neil Holt,Bampton,187.0,222.0,409,9.0
2019,COAS Indoors 2019,WA 18m,Recurve Men,Nathan Holcombe,Bampton,215.0,179.0,394,5.0
2019,COAS Indoors 2019,WA 18m,Recurve Men,Russell Shepherd,Black & Gold,191.0,185.0,376,4.0
2019,COAS Indoors 2019,WA 18m,Recurve Men,Tom Moorhouse,Oxford,,,DNS,
2019,COAS Indoors 2019,WA 18m,Recurve Women,Charlie Birch,Wallingford,268.0,273.0,541,26.0
2019,COAS Indoors 2019,WA 18m,Recurve Women,Antje Frotscher,Oxford,270.0,265.0,535,21.0
2019,COAS Indoors 2019,WA 18m,Recurve Women,Ellie Jones,Oxford Uni,257.0,263.0,520,10.0
2019,COAS Indoors 2019,WA 18m,Recurve Women,El̩onore Cossade,Oxford,270.0,249.0,519,11.0
2019,COAS Indoors 2019,WA 18m,Recurve Women,Cheryl King,Wallingford,252.0,239.0,491,8.0
2019,COAS Indoors 2019,WA 18m,Recurve Women,Alethea Russell,Wallingford,253.0,237.0,490,12.0
2019,COAS Indoors 2019,WA 18m,Recurve Women,Ella Perring,Wallingford,252.0,237.0,489,6.0
2019,COAS Indoors 2019,WA 18m,Recurve Women,Eva Gronbech,Oxford,234.0,233.0,467,10.0
2019,COAS Indoors 2019,WA 18m,Recurve Women,Alice Mustey,Bampton,225.0,214.0,439,3.0
2019,COAS Indoors 2019,WA 18m,Recurve Women,Marie Woolsey,Bampton,180.0,201.0,381,4.0
2019,COAS Indoors 2019,WA 18m,Recurve Women,Charlotte Pink,Wallingford,177.0,140.0,317,3.0
2019,COAS Indoors 2019,WA 18m,Recurve Women,Lisa Jones-Allen,South Oxon,,,DNS,
2019,COAS Indoors 2019,WA 18m,Compound Men,Jacek Pedziwiatr,AGB,285.0,287.0,572,32.0
2019,COAS Indoors 2019,WA 18m,Compound Men,Sam Williams-Baldwin,Dark Side,288.0,283.0,571,31.0
2019,COAS Indoors 2019,WA 18m,Compound Men,Paul Vanetti,Oxford Uni,285.0,278.0,563,32.0
2019,COAS Indoors 2019,WA 18m,Compound Men,Jose Goncalves,AGB,279.0,282.0,561,25.0
2019,COAS Indoors 2019,WA 18m,Compound Men,Tamas Gaspar,SportsAble,281.0,280.0,561,23.0
2019,COAS Indoors 2019,WA 18m,Compound Men,Ben Glover,Oxford,274.0,276.0,550,15.0
2019,COAS Indoors 2019,WA 18m,Compound Men,Ray Park,Wallingford,264.0,272.0,536,10.0
2019,COAS Indoors 2019,WA 18m,Compound Men,Graham Smith,Bampton,264.0,270.0,534,11.0
2019,COAS Indoors 2019,WA 18m,Compound Men,Thomas Woolsey,Bampton,177.0,140.0,317,0.0
2019,COAS Indoors 2019,WA 18m,Compound Men,Mark Woolsey,Bampton,133.0,156.0,289,3.0
2019,COAS Indoors 2019,WA 18m,Compound Women,Nat Merry,Oxford,287.0,281.0,568,29.0
2019,COAS Indoors 2019,WA 18m,Compound Women,Susan Corless,Northampton,284.0,283.0,567,27.0
2019,COAS Indoors 2019,WA 18m,Compound Women,Kat Baier,Oxford,278.0,272.0,550,16.0
