Year,Competition,0,1,2,3,4,5,6,7,8
2020,Warfield CJAL 2020,Portsmouth,Recurve U18 Men,Thomas Sims,Bicester,291,293,584,60,46
2020,Warfield CJAL 2020,Portsmouth,Recurve U18 Men,Barnaby Grandin,Warfield,226,243,469,60,9
2020,Warfield CJAL 2020,Portsmouth,Recurve U18 Men,Adam Proctor-Low,Warfield,229,234,463,60,9
2020,Warfield CJAL 2020,Portsmouth,Recurve U18 Men,Stephen Bohmer,Bicester,224,195,419,58,5
2020,Warfield CJAL 2020,Portsmouth,Recurve U18 Men,Alex Bell,Bicester,206,205,411,60,3
2020,Warfield CJAL 2020,Portsmouth,Recurve U18 Men,Jacques de Verteuil,Burleigh,93,107,200,42,0
2020,Warfield CJAL 2020,Portsmouth,Recurve U18 Women,Emelia Belshaw,Burleigh,239,259,498,59,11
2020,Warfield CJAL 2020,Portsmouth,Recurve U18 Women,Abbie Climpson,Wallingford,256,239,495,60,10
2020,Warfield CJAL 2020,Portsmouth,Recurve U18 Women,Becky Stacey,Wallingford,245,245,490,60,14
2020,Warfield CJAL 2020,Portsmouth,Recurve U18 Women,Charlotte Pink,Wallingford,250,239,489,60,6
2020,Warfield CJAL 2020,Portsmouth,Recurve U18 Women,Hannah Devlin,Warfield,218,217,435,60,4
2020,Warfield CJAL 2020,Portsmouth,Recurve U18 Women,Ella Skipsey,Burleigh,209,182,391,60,5
2020,Warfield CJAL 2020,Portsmouth,Recurve U14 Men,Oliver Hicks,Warfield,230,228,458,60,2
2020,Warfield CJAL 2020,Portsmouth,Recurve U14 Men,Samuel Ball,Wallingford,211,224,435,60,5
2020,Warfield CJAL 2020,Portsmouth,Recurve U14 Men,Michael Lamothe-Atkinson,Bicester,202,231,433,60,3
2020,Warfield CJAL 2020,Portsmouth,Recurve U14 Men,Joe Andrews,Wallingford,212,206,418,59,4
2020,Warfield CJAL 2020,Portsmouth,Recurve U14 Men,Brogan Burke,Warfield,174,218,392,58,4
2020,Warfield CJAL 2020,Portsmouth,Recurve U14 Men,Cameron Oglvie,Bicester,166,157,323,54,1
2020,Warfield CJAL 2020,Portsmouth,Recurve U14 Men,Finlay Hicks,Warfield,139,166,305,55,2
2020,Warfield CJAL 2020,Portsmouth,Recurve U14 Men,Nathan Brewer,Wallingford,102,170,272,54,0
2020,Warfield CJAL 2020,Portsmouth,Recurve U14 Women,Lexie Carrie,Burleigh,249,254,503,60,10
2020,Warfield CJAL 2020,Portsmouth,Recurve U14 Women,Amber Chong,Wallingford,226,196,422,60,3
2020,Warfield CJAL 2020,Portsmouth,Recurve U14 Women,Lara Brown,Burleigh,233,186,419,60,4
2020,Warfield CJAL 2020,Portsmouth,Recurve U14 Women,Amelia Mae Griffiths,Wallingford,207,204,411,60,4
2020,Warfield CJAL 2020,Portsmouth,Recurve U14 Women,Ariadne Kalatzis,Burleigh,205,195,400,59,2
2020,Warfield CJAL 2020,Portsmouth,Recurve U14 Women,Lily Knutton,Wallingford,200,199,399,60,2
2020,Warfield CJAL 2020,Portsmouth,Recurve U14 Women,Olivia Woolger,Warfield,196,176,372,60,3
2020,Warfield CJAL 2020,Portsmouth,Recurve U14 Women,Artemis Kalatzis,Burleigh,188,180,368,58,1
2020,Warfield CJAL 2020,Portsmouth,Recurve U14 Women,Cerys Meredith-Evans,Bicester,175,172,347,58,2
2020,Warfield CJAL 2020,Portsmouth,Recurve U14 Women,Isabelle de Verteuil,Burleigh,173,172,345,57,3
2020,Warfield CJAL 2020,Portsmouth,Recurve U14 Women,Chloe Pink,Wallingford,155,159,314,54,2
2020,Warfield CJAL 2020,Portsmouth,Recurve U14 Women,Aimee Green,Burleigh,160,142,302,56,4
2020,Warfield CJAL 2020,Portsmouth,Recurve U12 Women,Maisie Bourner,Warfield,155,171,326,57,3
2020,Warfield CJAL 2020,Portsmouth,Recurve U12 Women,Eleanor Woolger,Warfield,47,53,100,20,0
2020,Warfield CJAL 2020,Portsmouth,Recurve U12 Women,Nuala Burke,Warfield,52,32,84,21,1
