Year,Competition,0,1,2,3,4,5,6,7,8,9
2015,London SEAL 2015,Portsmouth,Recurve Men,Dominic Collis,London Uni,,286.0,288.0,574,60.0,39.0
2015,London SEAL 2015,Portsmouth,Recurve Men,Richard Hwarn Yip Yim,London Uni,,274.0,277.0,551,60.0,21.0
2015,London SEAL 2015,Portsmouth,Recurve Men,Jonas SkaÄkauskas,Brunel Uni,,287.0,263.0,550,57.0,38.0
2015,London SEAL 2015,Portsmouth,Recurve Men,Lifei Zhang,London Uni,,273.0,271.0,544,60.0,24.0
2015,London SEAL 2015,Portsmouth,Recurve Men,Nickil Shah,Uni of East Anglia,,265.0,274.0,539,60.0,19.0
2015,London SEAL 2015,Portsmouth,Recurve Men,Alastair James,Brunel Uni,,259.0,254.0,513,60.0,8.0
2015,London SEAL 2015,Portsmouth,Recurve Men,Matthew Robinson,Brunel Uni,,261.0,243.0,504,60.0,8.0
2015,London SEAL 2015,Portsmouth,Recurve Men,Laurence Phillipson,Brunel Uni,,247.0,247.0,494,60.0,6.0
2015,London SEAL 2015,Portsmouth,Recurve Men,Ben Everett,Brunel Uni,Novice,234.0,235.0,469,60.0,6.0
2015,London SEAL 2015,Portsmouth,Recurve Men,James Hart,Uni of East Anglia,,223.0,237.0,460,59.0,7.0
2015,London SEAL 2015,Portsmouth,Recurve Men,Juntao Lai,London Uni,Novice,227.0,229.0,456,60.0,6.0
2015,London SEAL 2015,Portsmouth,Recurve Men,Jack Schapira,London Uni,Novice,223.0,230.0,453,60.0,4.0
2015,London SEAL 2015,Portsmouth,Recurve Men,Daniel Sutch,Brunel Uni,,226.0,212.0,438,60.0,8.0
2015,London SEAL 2015,Portsmouth,Recurve Men,Samuel Adriano,Brunel Uni,Novice,213.0,202.0,415,59.0,4.0
2015,London SEAL 2015,Portsmouth,Recurve Men,Alex Salgado,London Uni,Novice,203.0,189.0,392,60.0,3.0
2015,London SEAL 2015,Portsmouth,Recurve Men,Arran Adam,Brunel Uni,Novice,181.0,193.0,374,59.0,5.0
2015,London SEAL 2015,Portsmouth,Recurve Women,Bridget Evans,London Uni,,276.0,264.0,540,60.0,20.0
2015,London SEAL 2015,Portsmouth,Recurve Women,Bertina Chan,London Uni,,262.0,263.0,525,60.0,14.0
2015,London SEAL 2015,Portsmouth,Recurve Women,Shabnam Alizadeh,London Uni,,266.0,258.0,524,60.0,13.0
2015,London SEAL 2015,Portsmouth,Recurve Women,Aylish Selkirk,Uni of Arts London,,243.0,242.0,485,59.0,17.0
2015,London SEAL 2015,Portsmouth,Recurve Women,Devon Harper,Uni of East Anglia,,232.0,242.0,474,60.0,10.0
2015,London SEAL 2015,Portsmouth,Recurve Women,Kamila Daurenova,London Uni,Novice,198.0,227.0,425,58.0,4.0
2015,London SEAL 2015,Portsmouth,Recurve Women,Federica Vallerani,London Uni,Novice,191.0,214.0,405,60.0,0.0
2015,London SEAL 2015,Portsmouth,Recurve Women,Flavia Sanders,London Uni,Novice,66.0,90.0,156,36.0,1.0
2015,London SEAL 2015,Portsmouth,Barebow Men,Audun Riisoen,Uni of East Anglia,Novice,168.0,168.0,336,57.0,2.0
2015,London SEAL 2015,Portsmouth,Barebow Men,Eduardo Delago,Uni of East Anglia,Novice,149.0,180.0,329,58.0,1.0
2015,London SEAL 2015,Portsmouth,Barebow Men,Alex Stapleton,Uni of East Anglia,Novice,156.0,138.0,294,54.0,1.0
2015,London SEAL 2015,Portsmouth,Barebow Men,Luke Ayres,Uni of East Anglia,,,,DNS,,
2015,London SEAL 2015,Portsmouth,Barebow Men,Fraser MacDonald,Brunel Uni,Novice,,,DNS,,
2015,London SEAL 2015,Portsmouth,Barebow Women,AimÃ©e White,Brunel Uni,Novice,156.0,193.0,349,60.0,2.0
2015,London SEAL 2015,Portsmouth,Barebow Women,Lucy Homewood,Uni of East Anglia,Novice,185.0,148.0,333,58.0,4.0
2015,London SEAL 2015,Portsmouth,Barebow Women,Jess Kovacs,Uni of East Anglia,,137.0,132.0,269,54.0,2.0
2015,London SEAL 2015,Portsmouth,Barebow Women,Natalie Froome,Uni of East Anglia,Novice,89.0,109.0,198,44.0,0.0
2015,London SEAL 2015,Portsmouth,Traditional Men,Tom Lucking,Uni of East Anglia,,183.0,187.0,370,56.0,4.0
2015,London SEAL 2015,Portsmouth,Novice Recurve Men,Ben Everett,Brunel Uni,Novice,234.0,235.0,469,60.0,6.0
2015,London SEAL 2015,Portsmouth,Novice Recurve Men,Juntao Lai,London Uni,Novice,227.0,229.0,456,60.0,6.0
2015,London SEAL 2015,Portsmouth,Novice Recurve Men,Jack Schapira,London Uni,Novice,223.0,230.0,453,60.0,4.0
2015,London SEAL 2015,Portsmouth,Novice Recurve Men,Samuel Adriano,Brunel Uni,Novice,213.0,202.0,415,59.0,4.0
2015,London SEAL 2015,Portsmouth,Novice Recurve Men,Alex Salgado,London Uni,Novice,203.0,189.0,392,60.0,3.0
2015,London SEAL 2015,Portsmouth,Novice Recurve Men,Arran Adam,Brunel Uni,Novice,181.0,193.0,374,59.0,5.0
2015,London SEAL 2015,Portsmouth,Novice Recurve Women,Kamila Daurenova,London Uni,Novice,198.0,227.0,425,58.0,4.0
2015,London SEAL 2015,Portsmouth,Novice Recurve Women,Federica Vallerani,London Uni,Novice,191.0,214.0,405,60.0,0.0
2015,London SEAL 2015,Portsmouth,Novice Recurve Women,Flavia Sanders,London Uni,Novice,66.0,90.0,156,36.0,1.0
2015,London SEAL 2015,Portsmouth,Novice Barebow Men,Audun Riisoen,Uni of East Anglia,Novice,168.0,168.0,336,57.0,2.0
2015,London SEAL 2015,Portsmouth,Novice Barebow Men,Eduardo Delago,Uni of East Anglia,Novice,149.0,180.0,329,58.0,1.0
2015,London SEAL 2015,Portsmouth,Novice Barebow Men,Alex Stapleton,Uni of East Anglia,Novice,156.0,138.0,294,54.0,1.0
2015,London SEAL 2015,Portsmouth,Novice Barebow Men,Fraser MacDonald,Brunel Uni,Novice,,,DNS,,
2015,London SEAL 2015,Portsmouth,Novice Barebow Women,AimÃ©e White,Brunel Uni,Novice,156.0,193.0,349,60.0,2.0
2015,London SEAL 2015,Portsmouth,Novice Barebow Women,Lucy Homewood,Uni of East Anglia,Novice,185.0,148.0,333,58.0,4.0
2015,London SEAL 2015,Portsmouth,Novice Barebow Women,Natalie Froome,Uni of East Anglia,Novice,89.0,109.0,198,44.0,0.0
