Year,Competition,0,1,2,3,4,5,6,7,8,9
2022,Sussex SEAL 2022,Portsmouth,Recurve Men,Freddie Crosby,Southampton Uni,,275.0,279.0,554,60.0,27.0
2022,Sussex SEAL 2022,Portsmouth,Recurve Men,Alex Lunika,Southampton Uni,,259.0,260.0,519,60.0,13.0
2022,Sussex SEAL 2022,Portsmouth,Recurve Men,Miguel Mendes Pena,Southampton Uni,,255.0,262.0,517,60.0,15.0
2022,Sussex SEAL 2022,Portsmouth,Recurve Men,Haoyuan Zhong,Southampton Uni,,265.0,239.0,504,60.0,12.0
2022,Sussex SEAL 2022,Portsmouth,Recurve Men,Harrison Bayliss,Southampton Uni,,242.0,243.0,485,59.0,7.0
2022,Sussex SEAL 2022,Portsmouth,Recurve Men,James Ingham,Sussex Uni,,205.0,225.0,430,59.0,6.0
2022,Sussex SEAL 2022,Portsmouth,Recurve Men,Shaun Washer,Sussex Uni,,192.0,214.0,406,59.0,4.0
2022,Sussex SEAL 2022,Portsmouth,Recurve Men,Hugo Popov,Brighton Uni,,189.0,192.0,381,60.0,2.0
2022,Sussex SEAL 2022,Portsmouth,Recurve Men,Rami Aldahir,Sussex Uni,Novice,103.0,125.0,228,42.0,3.0
2022,Sussex SEAL 2022,Portsmouth,Recurve Men,Shaan Gajjar,Sussex Uni,Novice,83.0,78.0,161,30.0,0.0
2022,Sussex SEAL 2022,Portsmouth,Recurve Men,Adam Long,Sussex Uni,Novice,,,DNS,,
2022,Sussex SEAL 2022,Portsmouth,Recurve Men,Jihan Sheikh-Salah,Sussex Uni,Novice,,,DNS,,
2022,Sussex SEAL 2022,Portsmouth,Recurve Women,Niambh Jones,Southampton Uni,,279.0,258.0,537,59.0,23.0
2022,Sussex SEAL 2022,Portsmouth,Recurve Women,Ria Hill,Southampton Uni,,258.0,264.0,522,60.0,16.0
2022,Sussex SEAL 2022,Portsmouth,Recurve Women,Sophie Davies,Southampton Uni,Novice,258.0,240.0,498,60.0,10.0
2022,Sussex SEAL 2022,Portsmouth,Recurve Women,Alina Bell,Sussex Uni,,233.0,242.0,475,60.0,9.0
2022,Sussex SEAL 2022,Portsmouth,Recurve Women,Vera Schieffer,Sussex Uni,,240.0,235.0,475,60.0,7.0
2022,Sussex SEAL 2022,Portsmouth,Recurve Women,Amelia Woolway,Southampton Uni,,219.0,198.0,417,60.0,2.0
2022,Sussex SEAL 2022,Portsmouth,Recurve Women,Hannah Eades,Sussex Uni,,223.0,186.0,409,60.0,4.0
2022,Sussex SEAL 2022,Portsmouth,Recurve Women,Hazel Lye,Brighton Uni,,129.0,139.0,268,53.0,0.0
2022,Sussex SEAL 2022,Portsmouth,Recurve Women,Morgan Plant,Sussex Uni,Novice,,,DNS,,
2022,Sussex SEAL 2022,Portsmouth,Barebow Men,Lawrence Hawkswell,Sussex Uni,Novice,186.0,172.0,358,54.0,1.0
